,id,email,device_mac_id,ip,location,time_to_attempt,rejection_reason,is_suspicious,scenario,email_attempts_5m,email_attempts_10m,email_attempts_1h,seconds_since_email_last_attempt,seconds_since_ip_last_attempt,ip_attempts_5m,ip_attempts_10m,hour_sin,hour_cos
494,495,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-06 09:15:43+00:00,password_typo,0,normal_user_error,1,1,2,2943140,2943140,1,1,0.7071067811865476,-0.7071067811865475
495,496,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-06 09:32:31+00:00,invalid_password,0,normal_user_error,1,1,3,2942132,2942132,1,1,0.7071067811865476,-0.7071067811865475
525,526,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-06 20:44:48+00:00,invalid_password,0,normal_user_error,1,1,1,2901795,2901795,1,1,-0.8660254037844386,0.5000000000000001
562,563,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 04:36:47+00:00,invalid_password,0,normal_user_error,1,1,1,2873476,2873476,1,1,0.8660254037844386,0.5000000000000001
564,565,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 06:14:22+00:00,otp_failed,0,normal_user_error,1,1,1,2867621,2867621,2,2,1.0,6.123233995736766e-17
570,571,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 07:53:53+00:00,password_typo,0,normal_user_error,1,1,1,2861650,2861650,1,1,0.9659258262890683,-0.25881904510252063
576,577,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 09:06:45+00:00,invalid_password,0,normal_user_error,1,1,1,2857278,2857278,1,1,0.7071067811865476,-0.7071067811865475
601,602,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 17:47:13+00:00,invalid_password,0,normal_user_error,1,1,1,2826050,2826050,1,1,-0.9659258262890683,-0.25881904510252063
610,611,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 19:45:52+00:00,password_typo,0,normal_user_error,1,1,1,2818931,2818931,1,1,-0.9659258262890684,0.2588190451025203
614,615,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 21:14:59+00:00,invalid_password,0,normal_user_error,1,1,1,2813584,2813584,1,1,-0.7071067811865477,0.7071067811865474
622,623,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-07 22:53:28+00:00,invalid_password,0,normal_user_error,1,1,1,2807675,2807675,1,1,-0.5000000000000004,0.8660254037844384
637,638,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-08 04:10:16+00:00,invalid_password,0,normal_user_error,1,1,1,2788667,2788667,1,1,0.8660254037844386,0.5000000000000001
642,643,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-08 06:51:40+00:00,unknown_device,0,normal_user_error,1,1,1,2778983,2778983,1,1,1.0,6.123233995736766e-17
649,650,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-08 08:25:48+00:00,invalid_password,0,normal_user_error,1,1,1,2773335,2773335,1,1,0.8660254037844387,-0.4999999999999998
706,707,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-08 13:20:07+00:00,password_typo,0,normal_user_error,1,1,1,2755676,2755676,1,1,-0.2588190451025208,-0.9659258262890683
709,710,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-08 14:57:34+00:00,invalid_password,0,normal_user_error,1,1,1,2749829,2749829,1,1,-0.4999999999999997,-0.8660254037844388
741,742,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 01:22:57+00:00,expired_session,0,normal_user_error,1,1,1,2712306,2712306,1,1,0.25881904510252074,0.9659258262890683
742,743,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 02:09:18+00:00,invalid_password,0,normal_user_error,1,1,2,2709525,2709525,1,1,0.49999999999999994,0.8660254037844387
747,748,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 03:27:41+00:00,password_typo,0,normal_user_error,1,1,1,2704822,2704822,1,1,0.7071067811865475,0.7071067811865476
756,757,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 06:48:11+00:00,invalid_password,0,normal_user_error,1,1,1,2692792,2692792,1,1,1.0,6.123233995736766e-17
758,759,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 07:27:50+00:00,invalid_password,0,normal_user_error,1,1,2,2690413,2690413,1,1,0.9659258262890683,-0.25881904510252063
772,773,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 10:45:23+00:00,invalid_password,0,normal_user_error,1,1,1,2678560,2678560,1,1,0.49999999999999994,-0.8660254037844387
776,777,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 12:38:07+00:00,expired_session,0,normal_user_error,1,1,1,2671796,2671796,1,1,1.2246467991473532e-16,-1.0
779,780,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 13:33:44+00:00,invalid_password,0,normal_user_error,1,1,2,2668459,2668459,1,1,-0.2588190451025208,-0.9659258262890683
857,858,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-09 22:39:37+00:00,invalid_password,0,normal_user_error,1,1,1,2635706,2635706,1,1,-0.5000000000000004,0.8660254037844384
910,911,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-10 03:57:01+00:00,otp_failed,0,normal_user_error,1,1,1,2616662,2616662,1,1,0.7071067811865475,0.7071067811865476
913,914,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-10 04:44:14+00:00,password_typo,0,normal_user_error,1,1,2,2613829,2613829,1,1,0.8660254037844386,0.5000000000000001
972,973,user7@example.com,02:9A:51:8C:2F:B8,192.0.2.142,"Sylhet, BD",2026-07-10 19:43:04+00:00,invalid_password,0,normal_user_error,1,1,1,2559899,2559899,1,1,-0.9659258262890684,0.2588190451025203
1008,1009,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-10 23:19:48+00:00,invalid_password,0,normal_user_error,1,1,1,2546895,2546895,1,1,-0.25881904510252157,0.9659258262890681
1026,1027,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-11 04:11:02+00:00,expired_session,0,normal_user_error,1,1,1,2529421,2529421,1,1,0.8660254037844386,0.5000000000000001
1041,1042,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-11 05:17:17+00:00,expired_session,0,normal_user_error,1,1,1,2525446,2525446,1,1,0.9659258262890683,0.25881904510252074
1048,1049,user7@example.com,02:CC:BF:E0:E7:3D,192.0.2.142,"Rajshahi, BD",2026-07-11 06:45:46+00:00,invalid_password,0,normal_user_error,1,1,1,2520137,2520137,1,1,1.0,6.123233995736766e-17
1052,1053,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-11 09:38:50+00:00,invalid_password,0,normal_user_error,1,1,1,2509753,2509753,1,1,0.7071067811865476,-0.7071067811865475
1060,1061,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-11 13:59:53+00:00,invalid_password,0,normal_user_error,1,1,1,2494090,2494090,1,1,-0.2588190451025208,-0.9659258262890683
1074,1075,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-11 17:05:26+00:00,password_typo,0,normal_user_error,1,1,1,2482957,2482957,1,2,-0.9659258262890683,-0.25881904510252063
1086,1087,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-11 21:34:45+00:00,invalid_password,0,normal_user_error,1,1,1,2466798,2466798,1,1,-0.7071067811865477,0.7071067811865474
1147,1148,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-12 13:51:11+00:00,invalid_password,0,normal_user_error,1,1,1,2408212,2408212,1,1,-0.2588190451025208,-0.9659258262890683
1163,1164,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-12 19:13:10+00:00,invalid_password,0,normal_user_error,1,1,1,2388893,2388893,1,1,-0.9659258262890684,0.2588190451025203
1169,1170,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-12 21:26:48+00:00,invalid_password,0,normal_user_error,1,1,1,2380875,2380875,1,1,-0.7071067811865477,0.7071067811865474
1175,1176,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-12 23:44:21+00:00,invalid_password,0,normal_user_error,1,1,1,2372622,2372622,2,2,-0.25881904510252157,0.9659258262890681
1188,1189,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-13 03:09:00+00:00,password_typo,0,normal_user_error,1,1,1,2360343,2360343,3,3,0.7071067811865475,0.7071067811865476
1189,1190,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-13 03:23:07+00:00,invalid_password,0,normal_user_error,1,1,2,2359496,2359496,1,1,0.7071067811865475,0.7071067811865476
1193,1194,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-13 04:52:51+00:00,expired_session,0,normal_user_error,1,1,1,2354112,2354112,2,2,0.8660254037844386,0.5000000000000001
1209,1210,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-13 12:21:52+00:00,password_typo,0,normal_user_error,1,1,1,2327171,2327171,1,1,1.2246467991473532e-16,-1.0
1226,1227,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-13 18:52:21+00:00,unknown_device,0,normal_user_error,1,1,1,2303742,2303742,1,1,-1.0,-1.8369701987210297e-16
1228,1229,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-13 19:13:31+00:00,password_typo,0,normal_user_error,1,1,2,2302472,2302472,1,1,-0.9659258262890684,0.2588190451025203
1252,1253,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-13 23:56:26+00:00,otp_failed,0,normal_user_error,1,1,1,2285497,2285497,1,1,-0.25881904510252157,0.9659258262890681
1263,1264,user7@example.com,02:E6:D3:55:5E:0B,192.0.2.142,"New York, US",2026-07-14 04:01:36+00:00,invalid_password,0,normal_user_error,1,1,1,2270787,2270787,1,1,0.8660254037844386,0.5000000000000001
1265,1266,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-14 04:52:49+00:00,invalid_password,0,normal_user_error,1,1,2,2267714,2267714,1,1,0.8660254037844386,0.5000000000000001
1268,1269,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-14 05:11:23+00:00,password_typo,0,normal_user_error,1,1,2,2266600,2266600,1,1,0.9659258262890683,0.25881904510252074
1294,1295,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-14 08:38:59+00:00,password_typo,0,normal_user_error,1,1,1,2254144,2254144,1,1,0.8660254037844387,-0.4999999999999998
1306,1307,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-14 12:11:32+00:00,expired_session,0,normal_user_error,1,1,1,2241391,2241391,2,2,1.2246467991473532e-16,-1.0
1319,1320,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-14 18:40:17+00:00,invalid_password,0,normal_user_error,1,1,1,2218066,2218066,1,1,-1.0,-1.8369701987210297e-16
1322,1323,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-14 19:03:18+00:00,expired_session,0,normal_user_error,1,1,2,2216685,2216685,1,1,-0.9659258262890684,0.2588190451025203
1325,1326,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-14 19:58:27+00:00,unknown_device,0,normal_user_error,1,1,2,2213376,2213376,1,1,-0.9659258262890684,0.2588190451025203
1339,1340,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 01:18:34+00:00,invalid_password,0,normal_user_error,1,1,1,2194169,2194169,1,1,0.25881904510252074,0.9659258262890683
1343,1344,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 01:37:18+00:00,invalid_password,0,normal_user_error,1,1,2,2193045,2193045,1,1,0.25881904510252074,0.9659258262890683
1377,1378,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 08:19:53+00:00,expired_session,0,normal_user_error,1,1,1,2168890,2168890,1,1,0.8660254037844387,-0.4999999999999998
1379,1380,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 08:27:47+00:00,invalid_password,0,normal_user_error,1,2,2,2168416,2168416,1,1,0.8660254037844387,-0.4999999999999998
1386,1387,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 10:47:04+00:00,password_typo,0,normal_user_error,1,1,1,2160059,2160059,1,1,0.49999999999999994,-0.8660254037844387
1387,1388,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 11:37:06+00:00,invalid_password,0,normal_user_error,1,1,2,2157057,2157057,1,1,0.258819045102521,-0.9659258262890682
1405,1406,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 16:37:14+00:00,invalid_password,0,normal_user_error,1,1,1,2139049,2139049,1,1,-0.8660254037844384,-0.5000000000000004
1428,1429,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-15 22:57:46+00:00,invalid_password,0,normal_user_error,1,1,1,2116217,2116217,1,1,-0.5000000000000004,0.8660254037844384
1431,1432,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-16 00:26:34+00:00,password_typo,0,normal_user_error,1,1,1,2110889,2110889,1,1,0.0,1.0
1437,1438,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-16 03:00:47+00:00,password_typo,0,normal_user_error,1,1,1,2101636,2101636,1,1,0.7071067811865475,0.7071067811865476
1466,1467,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-16 15:11:06+00:00,password_typo,0,normal_user_error,1,1,1,2057817,2057817,1,1,-0.7071067811865471,-0.7071067811865479
1474,1475,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-16 17:45:39+00:00,password_typo,0,normal_user_error,1,1,1,2048544,2048544,1,1,-0.9659258262890683,-0.25881904510252063
1478,1479,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-16 20:06:38+00:00,invalid_password,0,normal_user_error,1,1,1,2040085,2040085,1,1,-0.8660254037844386,0.5000000000000001
1483,1484,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-16 21:27:29+00:00,password_typo,0,normal_user_error,1,1,1,2035234,2035234,1,1,-0.7071067811865477,0.7071067811865474
1537,1538,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-17 07:37:09+00:00,expired_session,0,normal_user_error,1,1,1,1998654,1998654,1,1,0.9659258262890683,-0.25881904510252063
1538,1539,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-17 08:06:33+00:00,otp_failed,0,normal_user_error,1,1,2,1996890,1996890,1,1,0.8660254037844387,-0.4999999999999998
1653,1654,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-18 04:47:11+00:00,password_typo,0,normal_user_error,1,1,1,1922452,1922452,1,2,0.8660254037844386,0.5000000000000001
1656,1657,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-18 05:57:46+00:00,password_typo,0,normal_user_error,1,1,2,1918217,1918217,1,1,0.9659258262890683,0.25881904510252074
